NC_000913.3,4036045,4036046,.,.,+,NC_000913.3,4035530,4037072,rrsA,.,+,rRNA
NC_000913.3,4036740,4036741,.,.,+,NC_000913.3,4035530,4037072,rrsA,.,+,rRNA
NC_000913.3,4038261,4038262,.,.,+,NC_000913.3,4037518,4040423,rrlA,.,+,rRNA
NC_000913.3,4038263,4038264,.,.,+,NC_000913.3,4037518,4040423,rrlA,.,+,rRNA
NC_000913.3,4038472,4038473,.,.,+,NC_000913.3,4037518,4040423,rrlA,.,+,rRNA
NC_000913.3,4039429,4039430,.,.,+,NC_000913.3,4037518,4040423,rrlA,.,+,rRNA
NC_000913.3,4039433,4039434,.,.,+,NC_000913.3,4037518,4040423,rrlA,.,+,rRNA
NC_000913.3,4039435,4039436,.,.,+,NC_000913.3,4037518,4040423,rrlA,.,+,rRNA
NC_000913.3,4039546,4039547,.,.,+,NC_000913.3,4037518,4040423,rrlA,.,+,rRNA
NC_000913.3,4039593,4039594,.,.,+,NC_000913.3,4037518,4040423,rrlA,.,+,rRNA
NC_000913.3,4039975,4039976,.,.,+,NC_000913.3,4037518,4040423,rrlA,.,+,rRNA
NC_000913.3,4040022,4040023,.,.,+,NC_000913.3,4037518,4040423,rrlA,.,+,rRNA
NC_000913.3,4040072,4040073,.,.,+,NC_000913.3,4037518,4040423,rrlA,.,+,rRNA
NC_000913.3,4040098,4040099,.,.,+,NC_000913.3,4037518,4040423,rrlA,.,+,rRNA
NC_000913.3,4040122,4040123,.,.,+,NC_000913.3,4037518,4040423,rrlA,.,+,rRNA
NC_000913.3,4040123,4040124,.,.,+,NC_000913.3,4037518,4040423,rrlA,.,+,rRNA
